road_key,hour,month,is_night,is_rush_hour,is_weekend,at_intersection_binary,school_zone_binary,work_zone_binary,weather_encoded,light_encoded,surface_encoded,historical_crash_rate,ADT,congestion_risk
2700 PRINCESS ANNE RD,9,11,0,1,0,1.0,0,0,0.0,0.0,0.0,1,20000.0,1
2000 LASKIN RD,14,11,0,0,1,1.0,0,0,0.0,0.0,0.0,4,3000.0,0
649 NEWTOWN RD,8,11,0,1,0,1.0,0,0,0.0,0.0,0.0,1,39000.0,2
SHORE DR,11,10,0,0,0,1.0,0,0,0.0,0.0,0.0,28,9600.0,0
4600 PEMBROKE BL,8,11,0,1,0,1.0,0,0,0.0,0.0,0.0,3,3800.0,0
PRINCESS ANNE RD,13,10,0,0,1,1.0,0,0,0.0,0.0,0.0,42,20000.0,1
3641 BONNEY RD,8,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,12000.0,0
BAKER RD,6,10,0,0,0,0.0,0,0,0.0,2.0,0.0,5,5000.0,0
800 DIAMOND SPRINGS RD,21,11,1,0,0,1.0,0,0,0.0,2.0,0.0,7,22000.0,1
9500 SHORE DR,14,11,0,0,0,1.0,0,0,0.0,0.0,0.0,1,5000.0,0
5700 NORTHAMPTON BL,7,11,0,1,0,0.0,0,0,0.0,0.0,0.0,15,30000.0,1
ROSEMONT RD S,17,11,0,1,0,1.0,0,0,0.0,0.0,0.0,17,30000.0,1
2400 ELSON GREEN AVE,15,11,0,0,1,0.0,0,0,0.0,0.0,0.0,2,17000.0,1
3400 HOLLAND RD,20,10,1,0,1,1.0,0,0,0.0,2.0,0.0,4,36000.0,1
4900 PRINCESS ANNE RD,18,10,0,1,0,1.0,0,0,0.0,2.0,0.0,17,20000.0,1
4200 HOLLAND RD,14,11,0,0,0,0.0,0,0,0.0,0.0,0.0,8,36000.0,1
3600 SANDFIDDLER RD,12,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,560.0,0
1900 VIRGINIA BEACH BL,8,11,0,1,0,0.0,0,0,0.0,0.0,0.0,5,30000.0,1
4800 NORTHAMPTN BL,7,10,0,1,0,0.0,0,0,0.0,0.0,0.0,1,30000.0,1
400 THALIA RD,22,10,1,0,1,0.0,1,0,2.0,2.0,1.0,1,3700.0,0
436 CAREN DR,17,10,0,1,1,0.0,0,0,2.0,1.0,1.0,1,5000.0,0
400 INDEPEDENCE BL,9,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,30000.0,1
NORTHAMPTON BL,16,10,0,1,1,1.0,0,0,0.0,0.0,0.0,23,30000.0,1
1700 LONDON BRIDGE RD,12,10,0,0,0,0.0,0,0,0.0,0.0,0.0,4,33000.0,1
VIRGINIA BEACH BL,8,10,0,1,0,1.0,0,0,0.0,0.0,0.0,57,30000.0,1
5800 NORTHAMPTON BL,8,10,0,1,0,0.0,0,0,0.0,0.0,0.0,14,30000.0,1
800 ARAGONA BL,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,5300.0,0
900 CYPRESS AV,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,1600.0,0
1300 GREAT NECK RD N,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,7,39000.0,2
1000 GREAT NECK RD N,14,10,0,0,0,1.0,0,0,0.0,0.0,0.0,10,39000.0,2
BAKER RD,12,11,0,0,0,1.0,0,0,0.0,0.0,0.0,5,5000.0,0
NORTHAMPTON BL,8,10,0,1,1,0.0,0,0,0.0,0.0,0.0,23,30000.0,1
5600 LYNNHAVEN PW,11,9,0,0,1,1.0,0,0,0.0,0.0,0.0,3,46000.0,2
3800 HOLLAND RD,14,11,0,0,0,1.0,0,0,0.0,0.0,0.0,6,36000.0,1
113 PINEWOOD RD,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,39000.0,2
GREAT NECK RD N,7,10,0,1,0,1.0,0,0,0.0,2.0,0.0,26,39000.0,2
