OBJECTID,EVENT_SOURCE_ID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,Shape__Length
115,720302,2014/09/11 00:00:00+00,SC-1148E (Culpeper County),R-VA023SC01148EB,2301148,          ,23-1147 Sumpter Rd,US 29 James Monroe Hwy,290,R,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.48,Culpeper County,,,1,1,24000,SC-1148E (Culpeper County) - ADT 290,Culpeper,Culpeper,SC,1859211,1049.341483
116,742373,2020/07/29 00:00:00+00,SC-600N (Greene County),R-VA039SC00600NB,3900600,          ,39-607 Matthew Mill Rd,39-659 Ashley Lane; Gap,180,R,,,,,,,X,,X,,,X,Bidirectional,0,Greene County,0.1,Greene County,,,1,1,48000,SC-600N (Greene County) - ADT 180,Culpeper,Culpeper,SC,1639253,336.9301975
117,787752,2012/04/24 00:00:00+00,Ewell CT (PR - Town of Berryville),S-VA168PR EWELL CT,43,          ,21-1041 Jackson Dr,Cul-de-Sac,110,R,,,,,,,X,,X,,,X,Bidirectional,0,Town of Berryville,0.11,Town of Berryville,,,1,1,24000,Ewell CT (PR - Town of Berryville) - ADT 110,Staunton,Staunton,ST,9242865,210.3286178
118,718245,2018/07/03 00:00:00+00,SC-4107E (Chesterfield County),R-VA020SC04107EB,2004107,          ,Cul-de-Sac,20-4101 Parrish Branch Rd,150,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.1,Chesterfield County,,,1,1,24000,SC-4107E (Chesterfield County) - ADT 150,Richmond,Richmond,SC,1390641,183.6891169
119,771053,2020/07/27 00:00:00+00,SC-1324E (Shenandoah County),R-VA085SC01324EB,8501324,          ,85-1304 Gospel St,US 11 Main St,490,R,,,,,,,X,,X,,,X,Bidirectional,0.1,Shenandoah County,0.26,Shenandoah County,,,1,1,24000,SC-1324E (Shenandoah County) - ADT 490,Staunton,Staunton,SC,1668682,312.9996016
120,302500,2024/01/01 00:00:00+00,SC-637N (Greene County),R-VA039SC00637NB,3900637,          ,39-621 South River Rd,39-647 McMullen Mill Rd,660,G,95.40896,0.79156,2.79683,0.73879,0.26385,0,C,0.0969,F,0.6508,620,G,Bidirectional,2.3,Greene County,3.8,Greene County,0.15407,0.15407,1,1,24000,SC-637N (Greene County) - ADT 660,Culpeper,Culpeper,SC,1408469,2880.381661
121,707189,2022/09/08 00:00:00+00,SC-787N (Botetourt County),R-VA011SC00787NB,1100787,          ,11-786 Mimosa St,Dead End,50,T,,,,,,,X,,X,,,X,Bidirectional,0.091,Botetourt County,0.2,Botetourt County,,,1,1,24000,SC-787N (Botetourt County) - ADT 50,Salem,Salem,SC,1954145,221.8297638
122,761034,2022/11/28 00:00:00+00,SC-1514E (Prince George County),R-VA074SC01514EB,7401514,          ,Cul-de-Sac,74-1512 Cottonwood Lane,100,T,,,,,,,X,,X,,,X,Bidirectional,0,Prince George County,0.09,Prince George County,,,1,1,24000,SC-1514E (Prince George County) - ADT 100,Richmond,Richmond,SC,2108120,174.8550779
124,720014,2023/08/02 00:00:00+00,SC-661N (Culpeper County),R-VA023SC00661NB,2300661,          ,23-658 Mt Pony Rd,23-662 Kibler Rd,260,R,,,,,,,X,,X,,,X,Bidirectional,1.4,Culpeper County,2.3,Culpeper County,,,1,1,24000,SC-661N (Culpeper County) - ADT 260,Culpeper,Culpeper,SC,1965896,1898.154996
125,787420,2014/09/17 00:00:00+00,SC-1107N (Culpeper County),R-VA023SC01107NB,2301107,          ,23-1108 Martingale Court,23-1106,130,R,,,,,,,X,,X,,,X,Bidirectional,0.132,Culpeper County,0.63,Culpeper County,,,1,1,24000,SC-1107N (Culpeper County) - ADT 130,Culpeper,Culpeper,SC,1626434,1037.225841
