OBJECTID,EVENT_SOURCE_ID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,Shape__Length
527,717565,2015/09/01 00:00:00+00,SC-3624N (Chesterfield County),R-VA020SC03624NB,2003624,          ,20-3625 Waters Edge Ct,20-3600 Woodlake Village Pkwy,310,R,,,,,,,X,,X,,,X,Bidirectional,0.16,Chesterfield County,0.32,Chesterfield County,,,1,1,24000,SC-3624N (Chesterfield County) - ADT 310,Richmond,Richmond,SC,2170625,326.1729662
529,602115,2024/01/01 00:00:00+00,Daingerfield RD (PR - City of Alexandria),S-VA100PR DAINGERFIELD RD,1230,          ,SR 236 Duke St,SR 7 King St,3700,F,97.68913,0.91929,0.78435,0.52289,0.08434,0,C,0.0944,F,0.655,3900,X,Bidirectional,0,City of Alexandria,0.19,City of Alexandria,0.05098,0,1,1,24000,Daingerfield RD (PR - City of Alexandria) - ADT 3700,Northern Virginia,Northern Virginia,ST,9066791,417.7986482
530,770455,2017/11/27 00:00:00+00,SC-620N (Shenandoah County),R-VA085SC00620NB,8500620,          ,0.50 MS of Bndy,85-735 Smith Creek Rd,190,R,,,,,,,X,,X,,,X,Bidirectional,1.95,Shenandoah County,1.97,Shenandoah County,,,1,1,24000,SC-620N (Shenandoah County) - ADT 190,Staunton,Staunton,SC,1666567,38.14765194
532,704842,2022/11/28 00:00:00+00,SC-916N (Augusta County),R-VA007SC00916NB,700916,          ,Dead End,07-1535 Greenbriar Lane,160,T,,,,,,,X,,X,,,X,Bidirectional,0,Augusta County,0.15,Augusta County,,,1,1,24000,SC-916N (Augusta County) - ADT 160,Staunton,Staunton,SC,2161805,297.2917386
534,780121,2022/02/01 00:00:00+00,SC-1713E (York County),R-VA099SC01713EB,9901713,          ,US 17 George Washington Mem Hwy,99-1710 Constitution Dr,2900,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.2,York County,,,1,1,24000,SC-1713E (York County) - ADT 2900,Hampton Roads,Hampton Roads,SC,1598305,411.8441037
535,742376,2020/06/16 00:00:00+00,SC-602E (Greene County),R-VA039SC00602EB,3900602,          ,39-603 Bingham Mtn Rd,Dead End,100,R,,,,,,,X,,X,,,X,Bidirectional,0,Greene County,1.2,Greene County,,,1,1,24000,SC-602E (Greene County) - ADT 100,Culpeper,Culpeper,SC,1639260,2412.86924
536,779418,2022/01/26 00:00:00+00,SC-1204E (York County),R-VA099SC01204EB,9901204,          ,99-1212 Nelson District Rd,99-1209 Grafton District Rd,260,R,,,,,,,X,,X,,,X,Bidirectional,0.33,York County,0.43,York County,,,1,1,24000,SC-1204E (York County) - ADT 260,Hampton Roads,Hampton Roads,SC,1939986,172.6191396
537,780166,2019/05/01 00:00:00+00,SC-1753E (York County),R-VA099SC01753EB,9901753,          ,99-1755 EAST,99-1756 N Fern Cove CT,580,R,,,,,,,X,,X,,,X,Bidirectional,0.28,York County,0.36,York County,,,1,1,24000,SC-1753E (York County) - ADT 580,Hampton Roads,Hampton Roads,SC,1598346,149.047447
538,779907,2022/03/08 00:00:00+00,SC-1581E (York County),R-VA099SC01581EB,9901581,          ,99-679 Lindsay Landing Lane,99-1510 Hollywood Blvd,240,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.19,York County,,,1,1,24000,SC-1581E (York County) - ADT 240,Hampton Roads,Hampton Roads,SC,1715173,374.4663702
539,753890,2019/01/10 00:00:00+00,SC-626E (Montgomery County),R-VA060SC00626EB,6000626,          ,US 11,"60-740 W, Wells St",290,R,,,,,,,X,,X,,,X,Bidirectional,0,Montgomery County,0.67,Montgomery County,,,1,1,24000,SC-626E (Montgomery County) - ADT 290,Salem,Salem,SC,1563283,1394.254982
541,705358,2022/12/08 00:00:00+00,SC-1922E (Augusta County),R-VA007SC01922EB,701922,          ,Dead End,07-1919 Verona Court Blvd,110,T,,,,,,,X,,X,,,X,Bidirectional,0,Augusta County,0.15,Augusta County,,,1,1,24000,SC-1922E (Augusta County) - ADT 110,Staunton,Staunton,SC,1953199,417.8931178
542,720235,2023/10/05 00:00:00+00,SC-1050E (Culpeper County),R-VA023SC01050EB,2301050,          ,Cul-de-Sac,23-729 Eggbornsville Rd,90,T,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.2,Culpeper County,,,1,1,24000,SC-1050E (Culpeper County) - ADT 90,Culpeper,Culpeper,SC,1626344,395.2977045
543,716010,2018/07/02 00:00:00+00,SC-2781N (Chesterfield County),R-VA020SC02781NB,2002781,          ,20-2780 Spirea Rd,Cul-de-Sac,100,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.09,Chesterfield County,,,1,1,24000,SC-2781N (Chesterfield County) - ADT 100,Richmond,Richmond,SC,2170460,160.1661166
544,602048,2024/01/01 00:00:00+00,Edsall RD (PR - City of Alexandria),S-VA100PR EDSALL RD,11470,          ,Van Dorn St,WCL Alexandria,14000,F,97.7224,0.96798,0.81726,0.37178,0.12058,0,C,0.0888,F,0.6181,15000,X,Master Prime,0.387,City of Alexandria,0.79,City of Alexandria,0.11189,0,1,2,24000,Edsall RD (PR - City of Alexandria) - ADT 14000,Northern Virginia,Northern Virginia,ST,9067721,883.0870928
545,797711,2018/08/08 00:00:00+00,SC-7438E (Chesterfield County),R-VA020SC07438EB,2007438,          ,20-7363 Colony Oak Ln,Cul-de-Sac,70,T,,,,,,,X,,X,,,X,Bidirectional,0.04,Chesterfield County,0.09,Chesterfield County,,,1,1,24000,SC-7438E (Chesterfield County) - ADT 70,Richmond,Richmond,SC,2529215,103.5354754
546,779358,2022/06/22 00:00:00+00,SC-1113E (York County),R-VA099SC01113EB,9901113,          ,99-1113 Queensbury Lane,99-642 Queens Creek Rd,1300,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.84,York County,,,1,1,24000,SC-1113E (York County) - ADT 1300,Hampton Roads,Hampton Roads,SC,1595375,1690.657558
547,728495,2015/01/15 00:00:00+00,SC-3660E (Fairfax County),R-VA029SC03660EB,2903660,          ,29-979 Barkley Dr,29-2796 Glenbrook Rd,180,R,,,,,,,X,,X,,,X,Bidirectional,0.08,Fairfax County,0.16,Fairfax County,,,1,1,24000,SC-3660E (Fairfax County) - ADT 180,Northern Virginia,Northern Virginia,SC,1774545,161.4857688
548,751467,2014/12/09 00:00:00+00,SC-9338N (Loudoun County),R-VA053SC09338NB,5309338,          ,53-1701 Sugarland Run Dr,Dead End,420,R,,,,,,,X,,X,,,X,Master Prime,0.078,Loudoun County,0.15,Loudoun County,,,1,2,24000,SC-9338N (Loudoun County) - ADT 420,Northern Virginia,Northern Virginia,SC,2018063,102.4590031
550,786165,2023/10/05 00:00:00+00,SC-1043N (Culpeper County),R-VA023SC01043NB,2301043,          ,23-1042 Windmill Way,Cul-de-Sac,70,T,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.15,Culpeper County,,,1,1,24000,SC-1043N (Culpeper County) - ADT 70,Culpeper,Culpeper,SC,1859138,297.6983702
551,705344,2013/04/02 00:00:00+00,SC-1913N (Augusta County),R-VA007SC01913NB,701913,          ,07-1914 Augusta St,07-1912 Jefferson St,80,R,,,,,,,X,,X,,,X,Bidirectional,0.06,Augusta County,0.12,Augusta County,,,1,1,24000,SC-1913N (Augusta County) - ADT 80,Staunton,Staunton,SC,1953193,134.1645463
552,770790,2017/09/20 00:00:00+00,SC-747E (Shenandoah County),R-VA085SC00747EB,8500747,          ,85-654 Zion Church Rd,85-649 Fishers Rd,30,R,,,,,,,X,,X,,,X,Bidirectional,0,Shenandoah County,0.9,Shenandoah County,,,1,1,24000,SC-747E (Shenandoah County) - ADT 30,Staunton,Staunton,SC,1667671,1819.79209
553,786213,2003/04/08 00:00:00+00,SC-8855N (Fairfax County),R-VA029SC08855NB,2908855,          ,Cul-de-Sac,29-1258 Westbrook Dr,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.08,Fairfax County,,,1,1,24000,SC-8855N (Fairfax County) - ADT 70,Northern Virginia,Northern Virginia,SC,2093184,156.1603388
556,719891,2014/08/27 00:00:00+00,SC-613E (Culpeper County),R-VA023SC00613EB,2300613,          ,23-621 Riley Rd,23-772 Dulin Dr,340,R,,,,,,,X,,X,,,X,Bidirectional,0.702,Culpeper County,1.43,Culpeper County,,,1,1,48000,SC-613E (Culpeper County) - ADT 340,Culpeper,Culpeper,SC,1394778,1675.54652
557,734963,2023/03/14 00:00:00+00,SC-7329E (Fairfax County),R-VA029SC07329EB,2907329,          ,Cul-de-Sac,29-7327 Canterwood Lane,40,T,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.15,Fairfax County,,,1,1,24000,SC-7329E (Fairfax County) - ADT 40,Northern Virginia,Northern Virginia,SC,1428455,282.8155611
558,677881,2024/01/01 00:00:00+00,London Bridge RD (NP - City of Virginia Beach),S-VA134NP LONDON BRIDGE RD,28354,          ,Harpers Rd,General Booth Blvd,15000,F,97.98749,0.31853,1.01639,0.32142,0.35617,0,F,0.0937,F,0.6042,16000,X,Master Non-Prime,5.48,City of Virginia Beach,7.42,City of Virginia Beach,0.05341,0.01593,1,2,24000,London Bridge RD (NP - City of Virginia Beach) - ADT 15000,Hampton Roads,Hampton Roads,ST,9218540,3900.064845
559,405688,2024/01/01 00:00:00+00,SC-655N (Tazewell County),R-VA092SC00655NB,9200655,          ,92-654 Snag Hollow,92-644 Abbs Valley Rd,240,G,98.24561,0.77973,0.77973,0.19493,0,0,C,0.1042,F,0.5556,240,G,Bidirectional,6.3,Tazewell County,7.8,Tazewell County,0,0,1,1,24000,SC-655N (Tazewell County) - ADT 240,Bristol,Bristol,SC,2029570,2906.38232
560,796919,2018/08/08 00:00:00+00,SC-7389N (Chesterfield County),R-VA020SC07389NB,2007389,          ,Cul-de-Sac,20-7387 Evershot Dr,60,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.05,Chesterfield County,,,1,1,24000,SC-7389N (Chesterfield County) - ADT 60,Richmond,Richmond,SC,2551516,112.8597381
561,704868,2019/06/13 00:00:00+00,SC-945N (Augusta County),R-VA007SC00945NB,700945,          ,07-935 Expo Rd,Cul-de-Sac,130,R,,,,,,,X,,X,,,X,Bidirectional,0,Augusta County,0.12,Augusta County,,,1,1,24000,SC-945N (Augusta County) - ADT 130,Staunton,Staunton,SC,1952879,228.9903231
563,302477,2024/01/01 00:00:00+00,SC-607E (Greene County),R-VA039SC00607EB,3900607,          ,39-606 Spring Hill Rd,US 29 Seminole Trail,5000,G,97.76811,0.43522,0.90392,0.68073,0.21203,0,C,0.1053,F,0.5821,4500,G,Bidirectional,0.7,Greene County,1.4,Greene County,0.10951,0,1,1,200000,SC-607E (Greene County) - ADT 5000,Culpeper,Culpeper,SC,1639312,1298.972437
564,716401,2018/07/02 00:00:00+00,SC-2990N (Chesterfield County),R-VA020SC02990NB,2002990,          ,Cul-de-Sac,20-2991 Copper Hill Pl,48,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.05,Chesterfield County,,,1,1,24000,SC-2990N (Chesterfield County) - ADT 48,Richmond,Richmond,SC,2169409,69.73217407
566,770919,2017/10/20 00:00:00+00,SC-826N (Shenandoah County),R-VA085SC00826NB,8500826,          ,GW Natl For Bndy,85-730 Pinewoods Rd,130,R,,,,,,,X,,X,,,X,Bidirectional,0.8,Shenandoah County,2.17,Shenandoah County,,,1,1,24000,SC-826N (Shenandoah County) - ADT 130,Staunton,Staunton,SC,1667748,2985.890315
567,677760,2024/01/01 00:00:00+00,London Bridge RD (NP - City of Virginia Beach),S-VA134NP LONDON BRIDGE RD,28354,          ,Potters Rd,International Pkwy,24000,F,96.32272,0.59511,1.39182,0.78508,0.90526,0,C,0.0949,F,0.5101,25000,X,Master Non-Prime,0.36,City of Virginia Beach,2.42,City of Virginia Beach,0.12147,0.04745,1,2,24000,London Bridge RD (NP - City of Virginia Beach) - ADT 24000,Hampton Roads,Hampton Roads,ST,9218540,4151.607345
568,403774,2024/01/01 00:00:00+00,SC-666E (Montgomery County),R-VA060SC00666EB,6000666,          ,F-59 Seven Mile Tree Rd,60-724 Gate Rd,1000,G,96.84772,0.87294,1.4064,0.48497,0.38797,0,C,0.1181,F,0.5426,1000,G,Bidirectional,0.36,Montgomery County,1.84,Montgomery County,0,0,1,1,24000,SC-666E (Montgomery County) - ADT 1000,Salem,Salem,SC,2220999,2928.425775
569,776368,2017/08/09 00:00:00+00,SC-634E (Warren County),R-VA093SC00634EB,9300634,          ,93-622 Lands Run Rd,Dead End,80,R,,,,,,,X,,X,,,X,Bidirectional,1,Warren County,2.2,Warren County,,,1,1,24000,SC-634E (Warren County) - ADT 80,Staunton,Staunton,SC,1710296,2142.228199
570,779151,2022/06/14 00:00:00+00,SC-722E (York County),R-VA099SC00722EB,9900722,          ,99-685 Blalock Dr,99-688 Pine Tree Rd,140,R,,,,,,,X,,X,,,X,Bidirectional,0.57,York County,0.6,York County,,,1,1,24000,SC-722E (York County) - ADT 140,Hampton Roads,Hampton Roads,SC,2145877,60.20086727
571,303718,2024/01/01 00:00:00+00,SC-619N (Warren County),R-VA093SC00619NB,9300619,          ,US 340 Stonewall Jackson Hwy,93-677 Catlett Mountain Rd,4800,G,97.56435,0.42901,1.5638,0.27678,0.16607,0,F,0.0951,F,0.6478,5200,G,Bidirectional,0,Warren County,2.09,Warren County,0.34521,0,1,1,200000,SC-619N (Warren County) - ADT 4800,Staunton,Staunton,SC,1927082,4303.466826
572,748397,2012/06/27 00:00:00+00,SC-9493E (King and Queen County),R-VA049SC09493EB,4909493,          ,0.05 ME SR 14,SR 14 The Trail,40,R,,,,,,,X,,X,,,X,Bidirectional,0.05,King and Queen County,0.21,King and Queen County,,,1,1,24000,SC-9493E (King and Queen County) - ADT 40,Fredericksburg,Fredericksburg,SC,1402454,400.2992019
573,779394,2022/02/15 00:00:00+00,SC-1194N (York County),R-VA099SC01194NB,9901194,          ,99-1193 Ludlow Dr,Cul-de-Sac,100,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.06,York County,,,1,1,24000,SC-1194N (York County) - ADT 100,Hampton Roads,Hampton Roads,SC,2247495,119.6463862
574,677811,2024/01/01 00:00:00+00,BUS US-58E (7 City of Virginia Beach),R-VA   US00058EBBUS007,C7US00058     ,          ,US 58 Laskin Rd,First Colonial Rd,28000,F,95.43043,1.50218,1.8751,0.97695,0.21534,0,F,0.0773,F,0.5602,30000,X,Master Prime,0,City of Virginia Beach,1.102,City of Virginia Beach,0.25741,0,1,1,24000,BUS US-58E (7 City of Virginia Beach) - ADT 28000,Hampton Roads,Hampton Roads,US,1921117,2246.215652
575,779735,2022/01/27 00:00:00+00,SC-1454E (York County),R-VA099SC01454EB,9901454,          ,99-1456 Coach Hovis Dr,Dead End,50,R,,,,,,,X,,X,,,X,Bidirectional,0.38,York County,0.42,York County,,,1,1,24000,SC-1454E (York County) - ADT 50,Hampton Roads,Hampton Roads,SC,1596720,79.70347326
576,716286,2018/10/01 00:00:00+00,SC-2926N (Chesterfield County),R-VA020SC02926NB,2002926,          ,20-2927 Shallowford Landing Ct,20-2925 Shallowford Landing Rd,160,R,,,,,,,X,,X,,,X,Bidirectional,0.04,Chesterfield County,0.09,Chesterfield County,,,1,1,24000,SC-2926N (Chesterfield County) - ADT 160,Richmond,Richmond,SC,2169379,109.2219937
577,707442,2019/04/18 00:00:00+00,SC-1309N (Botetourt County),R-VA011SC01309NB,1101309,          ,ECL Buchanan,11-1307 Boyd St,50,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,0.16,Botetourt County,,,1,1,24000,SC-1309N (Botetourt County) - ADT 50,Salem,Salem,SC,1955278,338.7941579
578,770482,2020/07/09 00:00:00+00,SC-631N (Shenandoah County),R-VA085SC00631NB,8500631,          ,85-630 Beeler Dr,85-629 Oranda Rd,240,R,,,,,,,X,,X,,,X,Bidirectional,0.6,Shenandoah County,0.95,Shenandoah County,,,1,1,24000,SC-631N (Shenandoah County) - ADT 240,Staunton,Staunton,SC,1549281,648.0781419
579,779005,2022/02/08 00:00:00+00,SC-663E (York County),R-VA099SC00663EB,9900663,          ,99-1283 Wills Circle,99-1284 Travis Circle,740,R,,,,,,,X,,X,,,X,Bidirectional,0.07,York County,0.15,York County,,,1,1,24000,SC-663E (York County) - ADT 740,Hampton Roads,Hampton Roads,SC,1939271,166.8452249
580,731040,2019/01/24 00:00:00+00,SC-4995E (Fairfax County),R-VA029SC04995EB,2904995,          ,"29-4978 E, Melville Lane","29-4996 E, Mercury Lane",170,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.05,Fairfax County,,,1,1,24000,SC-4995E (Fairfax County) - ADT 170,Northern Virginia,Northern Virginia,SC,1770490,111.2888951
581,775994,2024/03/06 00:00:00+00,SC-754N (Tazewell County),R-VA092SC00754NB,9200754,          ,Dead End,92-1410 Roma Rd,330,R,,,,,,,X,,X,,,X,Bidirectional,0,Tazewell County,0.55,Tazewell County,,,1,1,24000,SC-754N (Tazewell County) - ADT 330,Bristol,Bristol,SC,1464649,1168.294195
582,779419,2022/01/26 00:00:00+00,SC-1204E (York County),R-VA099SC01204EB,9901204,          ,99-1209 Grafton District Rd,99-1206 York Lane,240,R,,,,,,,X,,X,,,X,Bidirectional,0.43,York County,0.58,York County,,,1,1,24000,SC-1204E (York County) - ADT 240,Hampton Roads,Hampton Roads,SC,1939986,331.3342848
583,770671,2020/07/15 00:00:00+00,SC-702N (Shenandoah County),R-VA085SC00702NB,8500702,          ,85-717 Alum Springs Rd,0.10 MN 85-717,60,R,,,,,,,X,,X,,,X,Bidirectional,0,Shenandoah County,0.1,Shenandoah County,,,1,1,24000,SC-702N (Shenandoah County) - ADT 60,Staunton,Staunton,SC,1898798,206.526662
584,793701,2021/11/10 00:00:00+00,SC-5959N (Chesterfield County),R-VA020SC05959NB,2005959,          ,20-5670 Faraday Dr,Cul-de-Sac,160,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.12,Chesterfield County,,,1,1,24000,SC-5959N (Chesterfield County) - ADT 160,Richmond,Richmond,SC,2547063,249.6973176
585,400051,2024/01/01 00:00:00+00,SC-708N (Amelia County),R-VA004SC00708NB,400708,          ,04-622 Greenes Rd; Church Rd,04-610 Wills Rd,390,F,94.86521,0.64185,1.2837,1.15533,2.05392,0,C,0.1198,F,0.6522,390,X,Bidirectional,3.79,Amelia County,6.07,Amelia County,0,0.25997,1,1,24000,SC-708N (Amelia County) - ADT 390,Richmond,Richmond,SC,1951649,4612.826068
586,770517,2020/07/13 00:00:00+00,SC-648N (Shenandoah County),R-VA085SC00648NB,8500648,          ,85-744 Deer Rapids Rd,85-601 Battlefield Rd,460,R,,,,,,,X,,X,,,X,Bidirectional,0.82,Shenandoah County,0.92,Shenandoah County,,,1,1,24000,SC-648N (Shenandoah County) - ADT 460,Staunton,Staunton,SC,1666687,98.22754978
588,720098,2014/08/22 00:00:00+00,SC-714E (Culpeper County),R-VA023SC00714EB,2300714,          ,23-713 Dulaney Rd,23-729 Eggbornsville Rd,130,R,,,,,,,X,,X,,,X,Bidirectional,0.3,Culpeper County,2,Culpeper County,,,1,1,24000,SC-714E (Culpeper County) - ADT 130,Culpeper,Culpeper,SC,1966050,3089.445648
589,734108,2014/12/10 00:00:00+00,SC-6669N (Fairfax County),R-VA029SC06669NB,2906669,          ,29-6673 Middle Run Dr,Dead End,80,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.13,Fairfax County,,,1,1,24000,SC-6669N (Fairfax County) - ADT 80,Northern Virginia,Northern Virginia,SC,1424433,256.0384907
590,716831,2018/06/05 00:00:00+00,SC-3211N (Chesterfield County),R-VA020SC03211NB,2003211,          ,End Loop,20-3212 Watch Harbour Ct,120,R,,,,,,,X,,X,,,X,Bidirectional,0.24,Chesterfield County,0.32,Chesterfield County,,,1,1,24000,SC-3211N (Chesterfield County) - ADT 120,Richmond,Richmond,SC,2169635,171.2879609
591,784987,2024/01/01 00:00:00+00,Newtown RD (NP - City of Norfolk),S-VA122NP NEWTOWN RD,23772,          ,Susquehanna Dr,SR 165 Princess Anne Rd,4300,F,98.52959,0.45338,0.83323,0.17155,0.01225,0,C,0.0789,F,0.6233,4600,X,Master Non-Prime,0.4,City of Norfolk,0.56,City of Norfolk,,,1,3,24000,Newtown RD (NP - City of Norfolk) - ADT 4300,Hampton Roads,Hampton Roads,ST,9126594,344.5531709
593,602048,2024/01/01 00:00:00+00,Edsall RD (PR - City of Alexandria),S-VA100PR EDSALL RD,11470,          ,Van Dorn St,WCL Alexandria,14000,F,97.7224,0.96798,0.81726,0.37178,0.12058,0,C,0.0888,F,0.6181,15000,X,Bidirectional,0.23,City of Alexandria,0.387,City of Alexandria,0.11189,0,1,1,24000,Edsall RD (PR - City of Alexandria) - ADT 14000,Northern Virginia,Northern Virginia,ST,9067721,320.531146
595,748330,2021/12/02 00:00:00+00,SC-645N (King and Queen County),R-VA049SC00645NB,4900645,          ,Dead End,49-605 Plain View Lane,60,R,,,,,,,X,,X,,,X,Bidirectional,0,King and Queen County,0.6,King and Queen County,,,1,1,24000,SC-645N (King and Queen County) - ADT 60,Fredericksburg,Fredericksburg,SC,1402374,1166.695822
596,718944,2021/05/04 00:00:00+00,SC-4782E (Chesterfield County),R-VA020SC04782EB,2004782,          ,Cul-de-Sac,20-4781 Eagle Cove Ct,210,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.16,Chesterfield County,,,1,1,48000,SC-4782E (Chesterfield County) - ADT 210,Richmond,Richmond,SC,2172509,322.9902039
598,717714,2021/11/10 00:00:00+00,SC-3725N (Chesterfield County),R-VA020SC03725NB,2003725,          ,20-3727 Foxberry Dr,Dead End,80,T,,,,,,,X,,X,,,X,Bidirectional,0.03,Chesterfield County,0.07,Chesterfield County,,,1,1,24000,SC-3725N (Chesterfield County) - ADT 80,Richmond,Richmond,SC,2170713,64.08921679
600,796914,2018/08/30 00:00:00+00,SC-7385E (Chesterfield County),R-VA020SC07385EB,2007385,          ,Dead End,20-7332 Deerhill Rd,1300,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.12,Chesterfield County,,,1,1,24000,SC-7385E (Chesterfield County) - ADT 1300,Richmond,Richmond,SC,2528860,250.7429743
601,792876,2016/07/20 00:00:00+00,SC-5953N (Chesterfield County),R-VA020SC05953NB,2005953,          ,20-5954 Bailey Wood Terrace,20-5951 Penny Bridge Dr,120,R,,,,,,,X,,X,,,X,Bidirectional,0.14,Chesterfield County,0.23,Chesterfield County,,,1,1,24000,SC-5953N (Chesterfield County) - ADT 120,Richmond,Richmond,SC,2172915,176.0802377
602,720236,2014/09/09 00:00:00+00,SC-1058E (Culpeper County),R-VA023SC01058EB,2301058,          ,23-603 White Shop Rd,23-1059 Corbin Court,80,R,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,0.1,Culpeper County,,,1,1,24000,SC-1058E (Culpeper County) - ADT 80,Culpeper,Culpeper,SC,1859154,226.1933779
603,720113,2023/08/02 00:00:00+00,SC-724N (Culpeper County),R-VA023SC00724NB,2300724,          ,23-610 Maddens Tavern Rd,23-672 Stones Mill Rd,130,R,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,1.6,Culpeper County,,,1,1,24000,SC-724N (Culpeper County) - ADT 130,Culpeper,Culpeper,SC,1966062,3153.523112
604,778869,2022/02/08 00:00:00+00,SC-606E (York County),R-VA099SC00606EB,9900606,          ,99-1630 Tuckahoe Trace,SR 171 Victory Blvd,1700,R,,,,,,,X,0.0906,F,0.5616,,X,Master Prime,1.23,York County,1.4,York County,0,0,1,1,24000,SC-606E (York County) - ADT 1700,Hampton Roads,Hampton Roads,SC,1710636,330.117232
605,789748,2024/01/01 00:00:00+00,Peppers Ferry RD Ramp 1A (UK - Town of Wytheville),S-VA139UK PEPPERS FERRY RD RMP001.00A,,          ,Peppers Ferry Rd,I-77 South,1700,G,,,,,,,X,0.0779,F,1,1800,X,Master Prime,0,Wythe County,0.265,Wythe County,,,1,1,24000,Peppers Ferry RD Ramp 1A (UK - Town of Wytheville) - ADT 1700,Bristol,Bristol,ST,2117270,730.8365393
606,720007,2014/08/13 00:00:00+00,SC-657N (Culpeper County),R-VA023SC00657NB,2300657,          ,Madison County Line; 56-618 Waylands Mill Rd,2.15 MN of CL,40,R,,,,,,,X,,X,,,X,Bidirectional,2.1,Culpeper County,4.25,Culpeper County,,,1,1,24000,SC-657N (Culpeper County) - ADT 40,Culpeper,Culpeper,SC,1626137,4247.226261
607,770595,2020/07/20 00:00:00+00,SC-679N (Shenandoah County),R-VA085SC00679NB,8500679,          ,85-793 Ryman Rd,"85-680 S, Coffmantown Rd",210,R,,,,,,,X,,X,,,X,Bidirectional,3.4,Shenandoah County,3.43,Shenandoah County,,,1,1,24000,SC-679N (Shenandoah County) - ADT 210,Staunton,Staunton,SC,1667012,82.32687633
609,716333,2018/07/02 00:00:00+00,SC-2951N (Chesterfield County),R-VA020SC02951NB,2002951,          ,20-2953 Carriage Creek Ct,Cul-de-Sac,160,T,,,,,,,X,,X,,,X,Bidirectional,0.08,Chesterfield County,0.17,Chesterfield County,,,1,1,24000,SC-2951N (Chesterfield County) - ADT 160,Richmond,Richmond,SC,1387824,168.0404044
610,792847,2016/07/20 00:00:00+00,SC-5868N (Chesterfield County),R-VA020SC05868NB,2005868,          ,20-5668 Woodleigh Dr,20-5670 Faraday Dr,110,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.18,Chesterfield County,,,1,1,24000,SC-5868N (Chesterfield County) - ADT 110,Richmond,Richmond,SC,2547459,357.3529736
611,778964,2022/06/28 00:00:00+00,SC-643E (York County),R-VA099SC00643EB,9900643,          ,99-690 Palace Lane,Dead End,60,R,,,,,,,X,,X,,,X,Bidirectional,0.14,York County,0.2,York County,,,1,1,24000,SC-643E (York County) - ADT 60,Hampton Roads,Hampton Roads,SC,2144210,122.9821565
612,777208,2023/03/13 00:00:00+00,SC-1702E (Washington County),R-VA095SC01702EB,9501702,          ,95-1701 Mosby Ave,95-807 Cole Lane,70,R,,,,,,,X,,X,,,X,Bidirectional,0.15,Washington County,0.32,Washington County,,,1,1,24000,SC-1702E (Washington County) - ADT 70,Bristol,Bristol,SC,2147518,372.0379587
613,728454,2002/12/16 00:00:00+00,SC-3637N (Fairfax County),R-VA029SC03637NB,2903637,          ,29-3638 Manassas Cir,29-3640 Winchester Cir,170,R,,,,,,,X,,X,,,X,Bidirectional,0.11,Fairfax County,0.16,Fairfax County,,,1,1,24000,SC-3637N (Fairfax County) - ADT 170,Northern Virginia,Northern Virginia,SC,1428074,99.73299728
